2,640,474
4,643,471
4,412,506
8,604,738
8,650,468
8,418,503
10,649,466
10,416,501
12,644,459
12,597,729
14,410,492
14,644,457
16,647,458
16,404,483
20,655,455
20,608,726
22,614,726
22,661,454
22,425,490
24,665,452
24,617,725
24,427,488
26,431,487
26,670,452
28,676,452
28,437,487
30,682,450
32,687,447
32,446,482
34,696,449
34,645,722
34,454,483
36,704,449
36,461,482
38,710,448
38,466,482
40,717,446
40,665,721
40,472,480
42,728,447
42,676,721
42,482,480
44,740,448
44,688,723
44,493,482
46,751,447
46,503,482
48,764,445
48,710,720
48,515,479
50,776,443
50,526,477
50,723,718
52,788,441
52,734,717
52,537,475
54,799,438
54,744,714
54,546,472
56,809,438
56,754,714
56,557,472
58,820,439
58,765,714
58,567,472
60,832,437
60,776,713
60,578,471
62,843,435
62,587,468
64,853,433
64,596,465
66,865,433
66,809,709
66,608,466
68,879,435
68,823,710
68,622,468
70,890,432
70,832,709
70,631,466
72,842,706
72,640,463
72,900,430
74,854,709
74,912,433
74,652,466
76,923,435
76,662,468
78,932,434
78,671,467
80,944,434
80,885,710
80,682,467
82,898,710
82,958,434
82,695,467
84,969,433
86,979,432
86,919,707
86,715,464
88,728,466
88,992,434
88,932,709
90,1005,435
90,943,710
90,740,467
92,1016,435
92,956,710
92,751,467
94,1029,435
94,763,467
94,968,710
96,773,465
96,1040,433
98,1047,431
98,781,464
100,1055,431
100,788,462
100,992,706
102,796,461
102,1063,431
104,1070,429
104,803,459
104,1006,703
106,1079,429
106,812,460
106,1015,703
108,1022,704
108,1086,431
110,1095,432
110,828,461
112,1103,433
112,836,462
112,1038,707
114,1110,435
114,843,463
114,1044,708
116,1115,437
116,849,465
118,856,466
118,1123,439
118,1056,711
120,1126,439
